5351 FE00; FSung-Academic; FS0F14F4
5351 FE01; FSung-Academic; FS0F556B
5351 FE02; FSung-Academic; FS0F556C
5351 FE03; FSung-Academic; FS0F556D
5351 FE04; FSung-Academic; FS0F556E
5351 FE05; FSung-Academic; FS0F556F
5351 FE06; FSung-Academic; FS0F5571
5351 FE07; FSung-Academic; FS0F9C76
5351 FE08; FSung-Academic; FS10397D
