5F58 FE00; FSung-Academic; FS0F22F9
5F58 FE01; FSung-Academic; FS0F41B5
5F58 FE02; FSung-Academic; FS0F66D6
5F58 FE03; FSung-Academic; FS102C02
5F58 FE04; FSung-Academic; FS102C03
5F58 FE05; FSung-Academic; FS102C04
5F58 FE06; FSung-Academic; FS102C05
5F58 FE07; FSung-Academic; FS102C06
5F58 FE08; FSung-Academic; FS102C07
