64A5 FE00; FSung-Academic; FS0F2FFA # Term: FS0F2FFA
64A5 FE01; FSung-Academic; FS0F2FFC # Term: FS0F2FFC
64A5 FE02; FSung-Academic; FS0F6208 # Term: FS0F6208
64A5 FE03; FSung-Academic; FS0FF11C # Term: FS0FF11C
64A5 FE04; FSung-Academic; FS0FF1AF # Term: FS0FF1AF
64A5 FE05; FSung-Academic; FS10017F # Term: FS10017F
64A5 FE06; FSung-Academic; FS100180 # Term: FS100180
64A5 FE07; FSung-Academic; FS100181 # Term: FS100181
64A5 FE08; FSung-Academic; FS100182 # Term: FS100182
