8F42 FE00; FSung-Academic; FS0F0F98 # Term: FS0F0F98
8F42 FE01; FSung-Academic; FS0F2EB9 # Term: FS0F2EB9
8F42 FE02; FSung-Academic; FS0FDE16 # Term: FS0FDE16
8F42 FE03; FSung-Academic; FS101F4C # Term: FS101F4C
8F42 FE04; FSung-Academic; FS101F4D # Term: FS101F4D
8F42 FE05; FSung-Academic; FS101F4E # Term: FS101F4E
8F42 FE06; FSung-Academic; FS101F4F # Term: FS101F4F
8F42 FE07; FSung-Academic; FS101F50 # Term: FS101F50
8F42 FE08; FSung-Academic; FS101F51 # Term: FS101F51
