9B35 FE00; FSung-Academic; FS0FECA5
9B35 FE01; FSung-Academic; FS103D79
9B35 FE02; FSung-Academic; FS103D7A
9B35 FE03; FSung-Academic; FS103D7B
9B35 FE04; FSung-Academic; FS103D7C
9B35 FE05; FSung-Academic; FS103D7D
9B35 FE06; FSung-Academic; FS103D7E
9B35 FE07; FSung-Academic; FS103D7F
9B35 FE08; FSung-Academic; FS103D80
9B35 FE09; FSung-Academic; FS103D81
