79A6 FE00; FSung-Academic; FS0F3F52
79A6 FE01; FSung-Academic; FS0F3F65
79A6 FE02; FSung-Academic; FS0F3F96
79A6 FE03; FSung-Academic; FS100F65
79A6 FE04; FSung-Academic; FS100F66
79A6 FE05; FSung-Academic; FS100F67
79A6 FE06; FSung-Academic; FS100F68
79A6 FE07; FSung-Academic; FS100F69
79A6 FE08; FSung-Academic; FS100F6A
79A6 FE09; FSung-Academic; FS100F6B
79A6 FE0A; FSung-Academic; FS100F6C
79A6 FE0B; FSung-Academic; FS100F6D
79A6 FE0C; FSung-Academic; FS100F6F
