5BF5 FE00; FSung-Academic; FS0F06E7
5BF5 FE01; FSung-Academic; FS0F71B3
5BF5 FE02; FSung-Academic; FS0F732D
5BF5 FE03; FSung-Academic; FS0F73E5
5BF5 FE04; FSung-Academic; FS0F7405
5BF5 FE05; FSung-Academic; FS0F7437
5BF5 FE06; FSung-Academic; FS0F75C5
5BF5 FE07; FSung-Academic; FS0F76A7
5BF5 FE08; FSung-Academic; FS0F76F3
5BF5 FE09; FSung-Academic; FS0F77A6
5BF5 FE0A; FSung-Academic; FS0FD181
5BF5 FE0B; FSung-Academic; FS10133F
