5EC4 FE00; FSung-Academic; FS0F430C
5EC4 FE01; FSung-Academic; FS0F8635
5EC4 FE02; FSung-Academic; FS0FAE60
5EC4 FE03; FSung-Academic; FS102BC4
5EC4 FE04; FSung-Academic; FS102BC5
5EC4 FE05; FSung-Academic; FS102BC6
5EC4 FE06; FSung-Academic; FS102BC7
5EC4 FE07; FSung-Academic; FS102BC8
5EC4 FE08; FSung-Academic; FS102BC9
5EC4 FE09; FSung-Academic; FS102BCA
5EC4 FE0A; FSung-Academic; FS102BCB
