761E FE00; FSung-Academic; FS0F8D13 # Term: FS0F8D13
761E FE01; FSung-Academic; FS0FCF0B # Term: FS0FCF0B
761E FE02; FSung-Academic; FS0FCF2A # Term: FS0FCF2A
761E FE03; FSung-Academic; FS0FCF31 # Term: FS0FCF31
761E FE04; FSung-Academic; FS0FCF37 # Term: FS0FCF37
761E FE05; FSung-Academic; FS0FCF75 # Term: FS0FCF75
761E FE06; FSung-Academic; FS0FCF8D # Term: FS0FCF8D
761E FE07; FSung-Academic; FS10309F # Term: FS10309F
761E FE08; FSung-Academic; FS1030A0 # Term: FS1030A0
