9EFB FE00; FSung-Academic; FS0F1337
9EFB FE01; FSung-Academic; FS0F3CB3
9EFB FE02; FSung-Academic; FS0F955F
9EFB FE03; FSung-Academic; FS0FB471
9EFB FE04; FSung-Academic; FS103EF9
9EFB FE05; FSung-Academic; FS103EFA
9EFB FE06; FSung-Academic; FS103EFB
9EFB FE07; FSung-Academic; FS103EFC
9EFB FE08; FSung-Academic; FS103EFD
9EFB FE09; FSung-Academic; FS103EFE
