5BA3 FE00; FSung-Academic; FS0F48A1
5BA3 FE01; FSung-Academic; FS0F48A3
5BA3 FE02; FSung-Academic; FS0F48CF
5BA3 FE03; FSung-Academic; FS0F4953
5BA3 FE04; FSung-Academic; FS0F6AD5
5BA3 FE05; FSung-Academic; FS0F6AD7
5BA3 FE06; FSung-Academic; FS0F6AD8
5BA3 FE07; FSung-Academic; FS0F6AD9
5BA3 FE08; FSung-Academic; FS0F6ADC
5BA3 FE09; FSung-Academic; FS0F6ADD
5BA3 FE0A; FSung-Academic; FS0F6ADE
