5DEE FE00; FSung-Academic; FS0F087A # Term: FS0F087A
5DEE FE01; FSung-Academic; FS0F0AAC # Term: FS0F0AAC
5DEE FE02; FSung-Academic; FS0F2B73 # Term: FS0F2B73
5DEE FE03; FSung-Academic; FS0F2B7E # Term: FS0F2B7E
5DEE FE04; FSung-Academic; FS0F5845 # Term: FS0F5845
5DEE FE05; FSung-Academic; FS0FD912 # Term: FS0FD912
5DEE FE06; FSung-Academic; FS0FFBF5 # Term: FS0FFBF5
5DEE FE07; FSung-Academic; FS0FFBF6 # Term: FS0FFBF6
5DEE FE08; FSung-Academic; FS0FFBF7 # Term: FS0FFBF7
