96E2 FE00; FSung-Academic; FS0FE67E
96E2 FE01; FSung-Academic; FS0FE67F
96E2 FE02; FSung-Academic; FS0FE691
96E2 FE03; FSung-Academic; FS0FE6BA
96E2 FE04; FSung-Academic; FS1023F6
96E2 FE05; FSung-Academic; FS1023F7
96E2 FE06; FSung-Academic; FS1023F8
96E2 FE07; FSung-Academic; FS1023F9
96E2 FE08; FSung-Academic; FS1023FA
