7C3F FE00; FSung-Academic; FS0F32E9 # Term: FS0F32E9
7C3F FE01; FSung-Academic; FS0F8E3B # Term: FS0F8E3B
7C3F FE02; FSung-Academic; FS0FD718 # Term: FS0FD718
7C3F FE03; FSung-Academic; FS101187 # Term: FS101187
7C3F FE04; FSung-Academic; FS101188 # Term: FS101188
7C3F FE05; FSung-Academic; FS101189 # Term: FS101189
7C3F FE06; FSung-Academic; FS10118A # Term: FS10118A
7C3F FE07; FSung-Academic; FS10118B # Term: FS10118B
7C3F FE08; FSung-Academic; FS103A56 # Term: FS103A56
