8CE2 FE00; FSung-Academic; FS0F0634
8CE2 FE01; FSung-Academic; FS0FDF67
8CE2 FE02; FSung-Academic; FS0FDF7B
8CE2 FE03; FSung-Academic; FS0FDF7D
8CE2 FE04; FSung-Academic; FS0FDF80
8CE2 FE05; FSung-Academic; FS0FDF8C
8CE2 FE06; FSung-Academic; FS0FDFD3
8CE2 FE07; FSung-Academic; FS0FDFE6
8CE2 FE08; FSung-Academic; FS101DFB
8CE2 FE09; FSung-Academic; FS101DFC
8CE2 FE0A; FSung-Academic; FS101DFD
8CE2 FE0B; FSung-Academic; FS101DFE
8CE2 FE0C; FSung-Academic; FS101DFF
