8543 FE00; FSung-Academic; FS0F1DE1
8543 FE01; FSung-Academic; FS0F32CD
8543 FE02; FSung-Academic; FS0FB630
8543 FE03; FSung-Academic; FS1018CB
8543 FE04; FSung-Academic; FS1018CC
8543 FE05; FSung-Academic; FS1018CD
8543 FE06; FSung-Academic; FS1018CE
8543 FE07; FSung-Academic; FS1018CF
8543 FE08; FSung-Academic; FS1018D0
8543 FE09; FSung-Academic; FS1018D1
