4FD7 FE00; FSung-Academic; FS0F68E2
4FD7 FE01; FSung-Academic; FS0F68E3
4FD7 FE02; FSung-Academic; FS0F68E4
4FD7 FE03; FSung-Academic; FS0F68E5
4FD7 FE04; FSung-Academic; FS0F68E6
4FD7 FE05; FSung-Academic; FS0F68E7
4FD7 FE06; FSung-Academic; FS0F68E8
4FD7 FE07; FSung-Academic; FS0F68E9
4FD7 FE08; FSung-Academic; FS0F68EA
4FD7 FE09; FSung-Academic; FS0F68EB
4FD7 FE0A; FSung-Academic; FS0F6D3C
