77E3 FE00; FSung-Academic; FS0F1E84 # Term: FS0F1E84
77E3 FE01; FSung-Academic; FS0F2A6C # Term: FS0F2A6C
77E3 FE02; FSung-Academic; FS0F2A79 # Term: FS0F2A79
77E3 FE03; FSung-Academic; FS0F2A7A # Term: FS0F2A7A
77E3 FE04; FSung-Academic; FS0F84F7 # Term: FS0F84F7
77E3 FE05; FSung-Academic; FS0FAD33 # Term: FS0FAD33
77E3 FE06; FSung-Academic; FS100E84 # Term: FS100E84
77E3 FE07; FSung-Academic; FS100E85 # Term: FS100E85
77E3 FE08; FSung-Academic; FS100E86 # Term: FS100E86
