9B44 FE00; FSung-Academic; FS0FCE37 # Term: FS0FCE37
9B44 FE01; FSung-Academic; FS0FCE38 # Term: FS0FCE38
9B44 FE02; FSung-Academic; FS0FCE40 # Term: FS0FCE40
9B44 FE03; FSung-Academic; FS0FCE67 # Term: FS0FCE67
9B44 FE04; FSung-Academic; FS10273F # Term: FS10273F
9B44 FE05; FSung-Academic; FS102740 # Term: FS102740
9B44 FE06; FSung-Academic; FS102741 # Term: FS102741
9B44 FE07; FSung-Academic; FS102742 # Term: FS102742
9B44 FE08; FSung-Academic; FS102743 # Term: FS102743
